year,district,office,candidate,party,votes,percentage
2018,41,Governor,Abbott,REP,18649,44.3
2018,41,Governor,Valdez,DEM,22935,54.5
2018,41,Governor,Tippetts,LIB,504,1.2
2018,41,Lieutenant Governor,Patrick,REP,16115,38.6
2018,41,Lieutenant Governor,Collier,DEM,24772,59.3
2018,41,Lieutenant Governor,McKennon,LIB,865,2.1
2018,41,Attorney General,Paxton,REP,15497,37.2
2018,42,U.S. Senate,Cruz,REP,11258,29.7
2018,42,U.S. Senate,O'Rourke,DEM,26426,69.6
2018,42,U.S. Senate,Dikeman,LIB,281,0.7
2018,42,Governor,Abbott,REP,13289,35.3
2018,42,Governor,Valdez,DEM,23927,63.5
2018,42,Governor,Tippetts,LIB,437,1.2
2018,42,Lieutenant Governor,Patrick,REP,10776,29.0
2018,42,Lieutenant Governor,Collier,DEM,25495,68.6
2018,42,Lieutenant Governor,McKennon,LIB,900,2.4
2018,42,Attorney General,Paxton,REP,9672,26.1
2018,43,U.S. Senate,Cruz,REP,30112,57.3
2018,43,U.S. Senate,O'Rourke,DEM,22096,42.1
2018,43,U.S. Senate,Dikeman,LIB,335,0.6
2018,43,Governor,Abbott,REP,33054,63.1
2018,43,Governor,Valdez,DEM,18726,35.8
2018,43,Governor,Tippetts,LIB,568,1.1
2018,43,Lieutenant Governor,Patrick,REP,29118,56.4
2018,43,Lieutenant Governor,Collier,DEM,21500,41.7
2018,43,Lieutenant Governor,McKennon,LIB,981,1.9
2018,43,Attorney General,Paxton,REP,28933,56.1
2018,44,U.S. Senate,Cruz,REP,38112,63.3
2018,44,U.S. Senate,O'Rourke,DEM,21501,35.7
2018,44,U.S. Senate,Dikeman,LIB,585,1.0
2018,44,Governor,Abbott,REP,40678,67.8
2018,44,Governor,Valdez,DEM,18435,30.7
2018,44,Governor,Tippetts,LIB,906,1.5
2018,44,Lieutenant Governor,Patrick,REP,38331,64.2
2018,44,Lieutenant Governor,Collier,DEM,20034,33.5
2018,44,Lieutenant Governor,McKennon,LIB,1362,2.3
2018,44,Attorney General,Paxton,REP,37231,62.5
2018,45,U.S. Senate,Cruz,REP,22033,37.0
2018,45,U.S. Senate,O'Rourke,DEM,36955,62.0
2018,45,U.S. Senate,Dikeman,LIB,633,1.1
2018,45,Governor,Abbott,REP,25572,43.0
2018,45,Governor,Valdez,DEM,32245,54.3
2018,45,Governor,Tippetts,LIB,1603,2.7
2018,45,Lieutenant Governor,Patrick,REP,22821,38.7
2018,45,Lieutenant Governor,Collier,DEM,34172,57.9
2018,45,Lieutenant Governor,McKennon,LIB,2035,3.4
2018,45,Attorney General,Paxton,REP,22023,37.4
2018,46,U.S. Senate,Cruz,REP,12975,20.7
2018,46,U.S. Senate,O'Rourke,DEM,48940,78.2
2018,46,U.S. Senate,Dikeman,LIB,670,1.1
2018,46,Governor,Abbott,REP,15669,25.2
2018,46,Governor,Valdez,DEM,44964,72.3
2018,46,Governor,Tippetts,LIB,1574,2.5
2018,46,Lieutenant Governor,Patrick,REP,13482,21.7
2018,46,Lieutenant Governor,Collier,DEM,46649,75.2
2018,46,Lieutenant Governor,McKennon,LIB,1873,3.0
2018,46,Attorney General,Paxton,REP,13011,21.0
2018,47,U.S. Senate,Cruz,REP,32466,36.8
2018,47,U.S. Senate,O'Rourke,DEM,54806,62.1
2018,47,U.S. Senate,Dikeman,LIB,1024,1.2
2018,47,Governor,Abbott,REP,38421,43.9
2018,47,Governor,Valdez,DEM,46852,53.5
2018,47,Governor,Tippetts,LIB,2324,2.7
2018,47,Lieutenant Governor,Patrick,REP,33310,38.1
2018,47,Lieutenant Governor,Collier,DEM,51297,58.7
2018,47,Lieutenant Governor,McKennon,LIB,2745,3.1
2018,47,Attorney General,Paxton,REP,32068,36.8
2018,48,U.S. Senate,Cruz,REP,25450,26.9
2018,48,U.S. Senate,O'Rourke,DEM,68187,72.0
2018,48,U.S. Senate,Dikeman,LIB,1024,1.1
2018,48,Governor,Abbott,REP,31622,33.8
2018,48,Governor,Valdez,DEM,59242,63.2
2018,48,Governor,Tippetts,LIB,2808,3.0
2018,48,Lieutenant Governor,Patrick,REP,26245,28.1
2018,48,Lieutenant Governor,Collier,DEM,64033,68.5
2018,48,Lieutenant Governor,McKennon,LIB,3159,3.4
2018,48,Attorney General,Paxton,REP,25245,27.1
2018,49,U.S. Senate,Cruz,REP,13729,14.0
2018,49,U.S. Senate,O'Rourke,DEM,83334,85.0
2018,49,U.S. Senate,Dikeman,LIB,1016,1.0
2018,49,Governor,Abbott,REP,19088,19.7
2018,49,Governor,Valdez,DEM,74703,77.3
2018,49,Governor,Tippetts,LIB,2897,3.0
2018,49,Lieutenant Governor,Patrick,REP,15087,15.7
