year,district,office,candidate,party,votes,percentage
2018,139,Lieutenant Governor,Patrick,REP,12137,23.9
2018,139,Lieutenant Governor,McKennon,LIB,692,1.4
2018,139,U.S. Senate,O'Rourke,DEM,38842,76.5
2018,139,U.S. Senate,Cruz,REP,11599,22.9
2018,139,U.S. Senate,Dikeman,LIB,301,0.6
2018,14,Attorney General,Paxton,REP,28743,54.2
2018,14,Governor,Abbott,REP,31818,59.4
2018,14,Governor,Valdez,DEM,20559,38.4
2018,14,Governor,Tippetts,LIB,1220,2.3
2018,14,Lieutenant Governor,Patrick,REP,28663,53.9
2018,14,Lieutenant Governor,Collier,DEM,22721,42.7
2018,14,Lieutenant Governor,McKennon,LIB,1788,3.4
2018,14,U.S. Senate,Cruz,REP,28748,53.3
2018,14,U.S. Senate,O'Rourke,DEM,24593,45.6
2018,14,U.S. Senate,Dikeman,LIB,551,1.0
2018,140,Attorney General,Paxton,REP,5502,22.0
2018,140,Governor,Valdez,DEM,18428,73.4
2018,140,Governor,Abbott,REP,6466,25.7
2018,140,Governor,Tippetts,LIB,224,0.9
2018,140,Lieutenant Governor,Collier,DEM,18949,75.5
2018,140,Lieutenant Governor,Patrick,REP,5880,23.4
2018,140,Lieutenant Governor,McKennon,LIB,265,1.1
2018,140,U.S. Senate,O'Rourke,DEM,19532,78.0
2018,140,U.S. Senate,Cruz,REP,5393,21.5
2018,140,U.S. Senate,Dikeman,LIB,130,0.5
2018,141,Attorney General,Paxton,REP,4427,13.5
2018,141,Governor,Valdez,DEM,26877,81.8
2018,141,Governor,Abbott,REP,5657,17.2
2018,141,Governor,Tippetts,LIB,342,1.0
2018,141,Lieutenant Governor,Collier,DEM,27735,84.4
2018,141,Lieutenant Governor,Patrick,REP,4752,14.5
2018,141,Lieutenant Governor,McKennon,LIB,367,1.1
2018,141,U.S. Senate,O'Rourke,DEM,28096,85.8
2018,141,U.S. Senate,Cruz,REP,4459,13.6
2018,141,U.S. Senate,Dikeman,LIB,182,0.6
2018,142,Attorney General,Paxton,REP,8290,21.7
2018,142,Governor,Valdez,DEM,27738,72.6
2018,142,Governor,Abbott,REP,10024,26.2
2018,142,Governor,Tippetts,LIB,458,1.2
2018,142,Lieutenant Governor,Collier,DEM,28976,75.9
2018,142,Lieutenant Governor,Patrick,REP,8748,22.9
2018,142,Lieutenant Governor,McKennon,LIB,462,1.2
2018,142,U.S. Senate,O'Rourke,DEM,29705,77.8
2018,142,U.S. Senate,Cruz,REP,8265,21.6
2018,142,U.S. Senate,Dikeman,LIB,218,0.6
2018,143,Attorney General,Paxton,REP,8770,27.0
2018,143,Governor,Valdez,DEM,22069,67.8
2018,143,Governor,Abbott,REP,10180,31.3
2018,143,Governor,Tippetts,LIB,306,0.9
2018,143,Lieutenant Governor,Collier,DEM,22798,70.1
2018,143,Lieutenant Governor,Patrick,REP,9296,28.6
2018,143,Lieutenant Governor,McKennon,LIB,408,1.3
